parameter_no,tcb_stores,luna_stores,rize_stores,shinagawa_stores,seishin_stores,-
062,tcb_006,luna_001,rize_007,shinagawa_010/shinagawa_011,seishin_003,-
063,-,-,-,-,-,-
064,-,-,-,shinagawa_012/shinagawa_013,-,-
065,-,-,-,shinagawa_005/shinagawa_006,-,-
066,-,-,-,shinagawa_007,-,-
067,tcb_006,luna_001,rize_007,shinagawa_010/shinagawa_011,seishin_003,-
068,-,-,-,-,seishin_002,-
069,-,-,-,shinagawa_012/shinagawa_013,-,-
070,-,-,-,-,-,-
071,-,-,-,-,-,-
072,-,-,-,-,-,-
073,-,-,-,-,-,-
074,-,-,-,-,-,-
075,-,-,rize_016,shinagawa_030,-,-
076,-,-,-,-,-,-
077,tcb_069,-,rize_016,shinagawa_030,-,-
078,-,-,rize_016,shinagawa_030,-,-
079,tcb_071,-,rize_015,shinagawa_028/shinagawa_029,seishin_008,-
080,-,-,-,-,-,-
081,tcb_050/tcb_051,-,rize_012/rize_013,shinagawa_026,-,-
082,-,-,-,-,-,-
083,-,-,-,-,-,-
084,tcb_050/tcb_051,-,rize_012/rize_013,shinagawa_026,seishin_007,-
085,-,-,-,-,-,-
086,tcb_094/tcb_096/tcb_098,-,rize_019,shinagawa_035/shinagawa_036,seishin_010,-
087,tcb_094/tcb_096/tcb_098,-,rize_019,shinagawa_035/shinagawa_036,seishin_010,-
088,tcb_095,-,-,-,-,-
089,tcb_042,-,-,-,-,-
090,tcb_040,-,rize_001,shinagawa_022,seishin_001,-
091,-,-,-,-,-,-
092,tcb_079,-,-,-,-,-
093,tcb_079,-,-,-,-,-
094,-,-,-,-,-,-
095,-,-,-,-,-,-
096,-,-,-,-,-,-
097,tcb_022,-,-,-,-,-
098,-,-,-,-,-,-
099,tcb_010/tcb_022,-,rize_006,shinagawa_005/shinagawa_006,-,-
100,tcb_022,-,-,-,-,-
101,tcb_019,-,rize_010,shinagawa_016/shinagawa_017,seishin_005,-
102,-,-,-,-,-,-
103,-,-,rize_004,-,-,-
104,-,-,-,-,-,-
105,-,-,-,-,-,-
106,tcb_025/tcb_026,-,-,shinagawa_018/shinagawa_019,seishin_004,-
107,tcb_025/tcb_026,-,-,shinagawa_018/shinagawa_019,seishin_004,-
108,-,-,-,-,-,-
109,-,-,-,-,-,-
110,-,-,-,-,-,-
111,tcb_077,-,rize_014,shinagawa_031,-,-
112,-,-,-,-,-,-
113,-,-,-,-,-,-
114,-,-,-,-,-,-
115,-,-,-,-,-,-
116,tcb_031,-,-,-,-,-
117,-,-,-,-,-,-
118,-,-,-,-,-,-
119,-,-,-,-,-,-
120,-,-,-,-,-,-
121,-,-,-,-,-,-
122,-,-,-,-,-,-
123,-,-,-,-,-,-
124,-,-,-,-,-,-
125,-,-,-,-,-,-
126,tcb_030,-,-,shinagawa_020,-,-
127,-,-,-,-,-,-
128,-,-,-,-,-,-
129,-,-,-,-,-,-
130,-,-,-,-,-,-
131,-,-,-,-,-,-
132,-,-,-,-,-,-
133,-,-,-,-,-,-
134,-,-,-,-,-,-
135,-,-,-,-,-,-
136,tcb_043,-,rize_002,shinagawa_023,-,-
137,-,-,-,-,-,-
138,-,-,-,-,-,-
139,-,-,-,-,-,-
140,-,-,-,-,-,-
141,-,-,-,-,-,-
142,-,-,-,-,-,-
143,-,-,-,-,-,-
144,-,-,-,-,-,-
145,-,-,-,-,-,-
146,-,-,-,-,-,-
147,-,-,-,-,-,-
148,-,-,-,-,-,-
149,-,-,-,-,-,-
150,-,-,-,-,-,-
151,-,-,-,-,-,-
152,-,-,-,-,-,-
153,-,-,-,-,-,-
154,-,-,-,-,-,-
155,-,-,-,-,-,-
156,-,-,-,-,-,-
157,-,-,-,-,-,-
158,-,-,-,-,-,-
159,-,-,-,-,-,-
160,-,-,-,-,-,-
161,-,-,-,-,-,-
162,-,-,-,-,-,-
163,-,-,-,-,-,-
164,-,-,-,-,-,-
165,-,-,-,-,-,-
166,-,-,-,-,-,-
167,-,-,-,-,-,-
168,-,-,-,-,-,-
169,-,-,-,-,-,-
170,-,-,-,-,-,-
171,-,-,-,-,-,-
172,-,-,-,-,-,-
173,-,-,-,-,-,-
174,-,-,-,-,-,-
175,-,-,-,-,-,-
176,-,-,-,-,-,-
177,-,-,-,-,-,-
178,-,-,-,-,-,-
179,-,-,-,-,-,-
180,-,-,-,-,-,-
181,-,-,-,-,-,-
182,-,-,-,-,-,-
183,-,-,-,-,-,-
184,-,-,-,-,-,-
185,-,-,-,-,-,-
186,-,-,-,-,-,-
187,-,-,-,-,-,-
188,-,-,-,-,-,-
189,-,-,-,-,-,-
190,-,-,-,-,-,-
191,-,-,-,-,-,-
192,-,-,-,-,-,-
193,-,-,-,-,-,-
194,-,-,-,-,-,-
195,-,-,-,-,-,-
196,-,-,-,-,-,-
197,-,-,-,-,-,-
198,-,-,-,-,-,-
199,-,-,-,-,-,-
200,-,-,-,-,-,-
201,-,-,-,-,-,-
202,-,-,-,-,-,-
203,-,-,-,-,-,-
204,-,-,-,-,-,-
205,-,-,-,-,-,-
206,-,-,-,-,-,-
207,-,-,-,-,-,-
208,-,-,-,-,-,-
209,-,-,-,-,-,-
210,-,-,-,-,-,-
211,-,-,-,-,-,-
212,-,-,-,-,-,-
213,-,-,-,-,-,-
214,-,-,-,-,-,-
215,-,-,-,-,-,-
216,-,-,-,-,-,-
217,-,-,-,-,-,-
218,-,-,-,-,-,-
219,-,-,-,-,-,-
220,-,-,-,-,-,-
221,-,-,-,-,-,-
222,-,-,-,-,-,-
223,-,-,-,-,-,-
224,-,-,-,-,-,-
225,-,-,-,-,-,-
226,-,-,-,-,-,-
227,-,-,-,-,-,-
228,-,-,-,-,-,-
229,-,-,-,-,-,-
230,-,-,-,-,-,-
231,-,-,-,-,-,-
232,-,-,-,-,-,-
233,-,-,-,-,-,-
234,-,-,-,-,-,-
235,-,-,-,-,-,-
236,-,-,-,-,-,-
237,-,-,-,-,-,-
238,-,-,-,-,-,-
239,-,-,-,-,-,-
240,-,-,-,-,-,-
241,-,-,-,-,-,-
242,-,-,-,-,-,-
243,-,-,-,-,-,-
244,-,-,-,-,-,-
245,-,-,-,-,-,-
246,-,-,-,-,-,-
247,-,-,-,-,-,-
248,-,-,-,-,-,-
249,-,-,-,-,-,-
250,-,-,-,-,-,-
251,-,-,-,-,-,-
252,-,-,-,-,-,-
253,-,-,-,-,-,-
254,-,-,-,-,-,-
255,-,-,-,-,-,-
256,-,-,-,-,-,-
257,-,-,-,-,-,-
258,-,-,-,-,-,-
259,-,-,-,-,-,-
260,-,-,-,-,-,-
261,-,-,-,-,-,-
262,-,-,-,-,-,-
263,-,-,-,-,-,-
264,-,-,-,-,-,-
265,-,-,-,-,-,-
266,-,-,-,-,-,-
267,-,-,-,-,-,-
268,-,-,-,-,-,-
269,-,-,-,-,-,-
270,-,-,-,-,-,-
271,-,-,-,-,-,-
272,-,-,-,-,-,-
273,-,-,-,-,-,-
274,-,-,-,-,-,-
275,-,-,-,-,-,-
276,-,-,-,-,-,-
277,-,-,-,-,-,-
278,-,-,-,-,-,-
279,-,-,-,-,-,-
280,-,-,-,-,-,-
281,-,-,-,-,-,-
282,-,-,-,-,-,-
283,-,-,-,-,-,-
284,-,-,-,-,-,-
285,-,-,-,-,-,-
286,-,-,-,-,-,-
287,-,-,-,-,-,-
288,-,-,-,-,-,-
289,-,-,-,-,-,-
290,-,-,-,-,-,-
291,-,-,-,-,-,-
292,-,-,-,-,-,-
293,-,-,-,-,-,-
294,-,-,-,-,-,-
295,-,-,-,-,-,-
296,-,-,-,-,-,-
297,-,-,-,-,-,-
298,-,-,-,-,-,-
299,-,-,-,-,-,-
300,-,-,-,-,-,-
